"Dato","Tilsig","Temperatur","Nedbor","Evaporasjon","Snodybde","Avrenning","Vindstyrke","Solstraaling"
2019-12-20,2.302,269.09625,2778.217,45.8332,115.476141666667,0,8.88640833333333,4.95428333333333
2019-12-21,2.326,269.450625,1033.1313,29.2866,115.374404166667,0,7.19909166666667,5.3134375
2019-12-22,2.326,264.625625,33.7623,51.0526,116.1119125,0,3.32685833333333,5.58566666666667
2019-12-23,2.306,264.70875,83.8939,46.3885,116.035595833333,0,3.73875,5.67413333333333
2019-12-24,2.287,266.326041666667,954.3822,30.1374,118.2544875,0,4.05738333333333,6.10499583333333
2019-12-25,2.306,267.321875,1692.9247,14.8861,119.437275,0,7.93837916666667,5.049475
2019-12-26,2.278,265.555833333333,363.1452,30.0635,118.457933333333,0,5.97522916666667,5.57540416666667
2019-12-27,2.244,262.96875,19.4387,37.6154,119.093775,0,5.41495833333333,7.02774583333333
2019-12-28,2.183,268.51875,4558.0606,52.0893,122.997883333333,0,8.47236666666667,4.55946666666667
2019-12-29,2.478,274.259375,24299.0181,85.4424,138.295470833333,0,12.6958583333333,3.41242083333333
2019-12-30,3.53,272.158125,17694.1529,-59.0009,146.955233333333,0,17.8903833333333,5.488975
2019-12-31,3.806,269.293541666667,8267.0896,-90.7993,150.604708333333,0,18.8644916666667,5.63660416666667
2020-01-01,3.683,272.576875,3576.5394,61.871,151.145208333333,0,20.4801,5.39176666666667
2020-01-02,3.644,274.312083333333,7907.4725,73.8739,152.200670833333,0,13.4591375,6.6454375
2020-01-03,4.071,267.152916666667,18040.5377,-171.4955,160.854108333333,0,18.4445791666667,6.46742916666667
2020-01-04,3.122,265.776041666667,8537.9817,-23.6166,178.853991666667,0,17.2247666666667,7.22058333333333
2020-01-05,3.376,269.203333333333,18845.9793,27.2479,183.832308333333,0,10.3061541666667,4.10571666666667
2020-01-06,3.576,273.381041666667,2034.8876,80.8855,180.6213875,0,8.22317083333333,5.183375
2020-01-07,4.135,272.136041666667,12054.9687,-3.2549,175.8020875,0,10.971825,6.84416666666667
2020-01-08,3.98,270.3825,29822.1521,-103.9534,194.037116666667,0,16.9966583333333,7.066975
2020-01-09,3.578,266.409791666667,1459.0507,-1.274,218.153391666667,0,8.39542916666667,9.3787625
2020-01-10,4.065,263.690208333333,13.3624,36.2801,224.96945,0,6.76180416666667,9.94729166666667
2020-01-11,4.065,270.806458333333,21095.8832,62.0294,234.71005,0,12.1621541666667,5.83204166666667
